

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
171.097  000.103  000.053: require('telescope.entry_manager')
171.129  000.030  000.030: require('telescope.pickers.multi')
171.145  000.585  000.150: require('telescope.pickers')
171.155  001.483  000.059: require('telescope.builtin.__lsp')
171.171  001.555  000.072: require('telescope.builtin')
171.978  005.771  001.182: require('telescope.actions')
173.027  000.052  000.052: require('nvim-treesitter.highlight')
173.595  000.063  000.063: require('nvim-ts-autotag._log')
173.642  000.045  000.045: require('nvim-ts-autotag.utils')
173.656  000.193  000.086: require('nvim-ts-autotag.internal')
173.657  000.464  000.271: require('nvim-ts-autotag')
173.737  000.557  000.093: sourcing /home/brian/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
174.482  000.039  000.039: require('illuminate.util')
174.568  000.083  000.083: require('illuminate.config')
174.597  000.028  000.028: require('illuminate.reference')
174.601  000.217  000.067: require('illuminate.highlight')
174.607  000.510  000.293: require('illuminate.engine')
174.686  000.060  000.060: require('illuminate')
174.779  000.797  000.227: sourcing /home/brian/.local/share/nvim/lazy/vim-illuminate/plugin/illuminate.vim
174.970  000.095  000.095: sourcing /home/brian/.local/share/nvim/lazy/undotree/plugin/undotree.vim
175.236  000.037  000.037: sourcing /home/brian/.local/share/nvim/lazy/trouble.nvim/plugin/trouble.vim
176.018  000.071  000.071: require('lualine_require')
176.228  000.622  000.551: require('lualine')
177.669  000.042  000.042: require('lualine.utils.mode')
181.643  000.036  000.036: sourcing /home/brian/.local/share/nvim/lazy/nvim-colorizer.lua/plugin/colorizer.vim
183.925  000.541  000.541: require('colorizer/nvim')
184.140  000.211  000.211: require('colorizer/trie')
184.339  002.675  001.923: require('colorizer')
187.330  000.844  000.844: require('conform')
188.551  000.834  000.834: sourcing /home/brian/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
188.653  000.007  000.007: sourcing /home/brian/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
189.439  000.027  000.027: require('treesitter-context.config')
189.449  000.318  000.291: require('treesitter-context')
189.498  000.392  000.073: sourcing /home/brian/.local/share/nvim/lazy/nvim-treesitter-context/plugin/treesitter-context.lua
190.006  000.030  000.030: require('harpoon.utils')
190.067  000.059  000.059: require('harpoon.dev')
190.330  000.393  000.304: require('harpoon')
190.338  000.692  000.299: require('harpoon.mark')
190.378  000.039  000.039: require('harpoon.ui')
190.487  000.017  000.017: sourcing /home/brian/.local/share/nvim/lazy/zen-mode.nvim/plugin/zen-mode.vim
191.173  000.029  000.029: require('neoscroll.config')
191.196  000.022  000.022: require('neoscroll.utils')
191.221  000.437  000.386: require('neoscroll')
191.745  000.032  000.032: require('nvim-autopairs._log')
191.780  000.033  000.033: require('nvim-autopairs.utils')
191.879  000.036  000.036: require('nvim-autopairs.conds')
191.883  000.069  000.033: require('nvim-autopairs.rule')
191.885  000.104  000.035: require('nvim-autopairs.rules.basic')
191.890  000.513  000.344: require('nvim-autopairs')
192.147  000.022  000.022: require('nvim-autopairs.completion.handlers')
192.152  000.062  000.039: require('nvim-autopairs.completion.cmp')
192.361  000.154  000.154: sourcing /home/brian/.local/share/nvim/lazy/hop.nvim/plugin/hop.vim
192.728  000.339  000.339: require('hop')
192.772  000.020  000.020: require('hop.perm')
192.808  000.016  000.016: require('hop.priority')
192.810  000.036  000.021: require('hop.hint')
192.811  000.080  000.024: require('hop.defaults')
192.829  000.017  000.017: require('hop.highlight')
192.936  000.026  000.026: sourcing /usr/local/share/nvim/runtime/plugin/editorconfig.lua
193.051  000.105  000.105: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
193.080  000.007  000.007: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
193.125  000.033  000.033: sourcing /usr/local/share/nvim/runtime/plugin/man.lua
193.497  000.128  000.128: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
193.528  000.390  000.262: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
193.631  000.089  000.089: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
193.653  000.010  000.010: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
193.694  000.031  000.031: sourcing /usr/local/share/nvim/runtime/plugin/nvim.lua
193.795  000.005  000.005: sourcing /home/brian/.local/share/nvim/rplugin.vim
193.799  000.093  000.089: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
193.847  000.039  000.039: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
193.875  000.013  000.013: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
193.952  000.064  000.064: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
194.023  000.052  000.052: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
194.056  000.020  000.020: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
194.166  000.092  000.092: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
194.439  000.021  000.021: require('cmp_buffer.timer')
194.443  000.051  000.030: require('cmp_buffer.buffer')
194.444  000.080  000.030: require('cmp_buffer.source')
194.446  000.105  000.025: require('cmp_buffer')
194.467  000.149  000.044: sourcing /home/brian/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
194.559  000.042  000.042: require('cmp_path')
